Row;Arabidopsis thaliana;Brachypodium distachyon;Musa acuminata;Oryza sativa;Phoenix dactylifera;Sorghum bicolor
15733;0;1;0;1;0;1
20841;0;0;0;1;0;0
21017;0;0;0;1;0;0
2575;1;1;1;1;1;1
9427;1;1;1;1;1;1
7123;0;0;0;1;0;0
3547;1;1;1;1;1;1
20297;1;0;0;0;0;0
4049;1;1;1;1;1;1
16219;0;1;0;1;0;1
21050;0;0;0;1;0;0
22111;0;1;0;1;0;0
21586;0;0;1;0;0;1
14929;0;1;0;0;0;0
2396;1;1;1;1;1;1
22684;0;0;0;1;0;1
1278;1;1;1;1;1;1
6095;1;1;1;1;1;1
22560;0;1;0;1;0;0
7527;1;1;1;1;0;1
18343;0;0;0;0;1;0
20988;0;0;0;1;0;0
6906;1;1;1;1;1;1
15702;0;1;0;1;1;0
14190;0;0;1;0;0;0
14661;0;0;0;0;0;1
948;1;1;1;1;1;1
9413;1;0;1;1;1;1
10101;1;1;1;1;1;1
9778;1;1;1;1;1;1
14869;0;1;0;0;0;0
5372;1;1;1;1;1;1
12582;1;0;0;0;1;0
22480;0;1;0;1;0;0
3237;1;1;1;1;0;1
22978;0;0;0;1;0;1
12641;1;0;1;0;1;0
5015;1;1;1;1;1;1
9409;1;1;1;1;1;1
21384;0;0;1;0;1;0
7702;1;1;1;1;0;1
17028;0;1;0;1;0;1
19257;0;0;0;0;0;1
6735;1;1;0;1;1;1
16381;0;1;0;1;0;1
10953;0;1;0;1;0;1
13116;0;1;0;0;0;0
16106;0;1;1;1;0;0
13487;0;1;1;1;0;1
9445;1;1;1;1;1;1
17972;0;0;1;0;0;0
20815;0;0;0;1;0;0
21920;0;1;0;0;0;1
5418;1;1;1;1;1;1
1314;1;1;1;1;0;1
2685;1;1;1;1;0;1
1804;1;1;1;1;1;1
2853;1;1;1;1;1;1
12644;1;0;1;0;1;0
16859;0;1;0;1;0;1
21838;1;0;0;0;1;0
10083;1;1;1;1;1;1
397;0;1;0;1;0;1
9034;1;1;1;1;1;1
2234;1;1;1;1;1;1
12027;1;1;0;1;1;1
4377;1;1;1;1;1;1
5514;1;1;1;1;1;1
18919;0;0;0;0;1;0
15423;0;1;0;1;0;1
22355;0;1;0;0;0;1
3767;1;1;1;1;1;1
15889;0;1;0;1;0;1
18541;1;0;0;0;0;0
1588;0;1;1;1;0;1
287;0;1;1;1;1;1
13545;0;1;1;1;0;1
19825;0;0;0;1;0;0
15047;0;0;0;1;0;0
17701;0;0;0;1;0;0
6635;0;1;0;1;0;0
22772;0;0;0;1;0;1
1748;1;1;1;1;1;1
12290;1;1;1;1;0;1
16287;1;0;0;1;0;1
2584;1;1;1;1;0;1
19389;0;0;0;0;1;0
12308;1;1;1;1;0;1
2069;1;1;1;1;1;1
19;1;1;1;1;1;1
16581;0;1;0;1;0;1
9117;1;1;1;1;1;1
2622;1;1;1;1;1;1
3368;1;1;1;1;1;1
15897;0;1;0;1;0;1
11694;1;1;1;0;1;1
456;1;1;1;0;1;1
16723;0;1;0;1;0;1
1871;1;1;1;1;1;1
22587;0;1;0;1;0;0
8078;1;1;1;1;1;1
20554;0;0;0;0;0;1
14104;0;0;0;0;1;0
13102;0;1;0;1;0;1
889;0;0;0;0;1;0
8861;1;1;1;1;1;1
5702;1;1;1;1;1;1
18890;1;0;0;0;0;0
507;0;0;0;1;0;0
7847;0;1;1;1;1;1
10582;0;0;1;0;0;0
6374;0;0;0;0;0;1
6096;1;1;1;1;0;1
21781;1;0;1;0;0;0
5631;1;1;1;1;1;1
12573;0;0;1;0;1;0
495;1;0;0;0;0;0
19061;0;0;0;0;0;1
11838;1;1;1;1;0;1
5530;1;1;1;1;0;1
